run_id,scene_id,terrain_class,vehicle_id,method,model_tag,friction_mu,start_i,start_j,start_k,goal_i,goal_j,goal_k,goal_radius_cells,found,fail_reason,path_length_m,risk_max,risk_avg,expanded_nodes,planning_time_ms,num_states,num_actions
slope_bumps_scene_002__mountain_large__baseline1_2p5d_astar__none,slope_bumps_scene_002,slope_bumps,mountain_large,baseline1_2p5d_astar,none,0.5524070858955383,10,60,0,110,60,0,2,1,,10.12573632923712,0.0,0.0,191,82.7639300005103,26,25
slope_bumps_scene_001__standard_offroad__baseline2_manual_risk_weighted_astar__none,slope_bumps_scene_001,slope_bumps,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.57723468542099,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,12001,9816.68106000052,0,0
pits_scene_002__urban_small__baseline3_ml_risk_weighted_astar__main,pits_scene_002,pits,urban_small,baseline3_ml_risk_weighted_astar,main,0.5565356612205505,10,60,0,110,60,0,2,1,,10.169167468605009,0.23585247993469238,0.16430227368551203,6497,37544.89023499991,26,25
pits_scene_002__urban_small__baseline3_ml_risk_weighted_astar__compare,pits_scene_002,pits,urban_small,baseline3_ml_risk_weighted_astar,compare,0.5565356612205505,10,60,0,110,60,0,2,1,,10.121430679936559,0.228532612323761,0.15894135726695616,6135,29271.281919999637,26,25
slope_bumps_scene_002__mountain_large__proposed_ml_risk_constrained_astar__main,slope_bumps_scene_002,slope_bumps,mountain_large,proposed_ml_risk_constrained_astar,main,0.5524070858955383,10,60,0,110,60,0,2,1,,10.12573632923712,0.48666441440582275,0.3073160140531746,327,1076.1748149998311,26,25
slope_bumps_scene_002__mountain_large__proposed_ml_risk_constrained_astar__compare,slope_bumps_scene_002,slope_bumps,mountain_large,proposed_ml_risk_constrained_astar,compare,0.5524070858955383,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,4.905122000309348,0,0
slope_bumps_scene_003__urban_small__baseline1_2p5d_astar__none,slope_bumps_scene_003,slope_bumps,urban_small,baseline1_2p5d_astar,none,0.5350304841995239,10,60,0,110,60,0,2,1,,10.209758550723139,0.0,0.0,346,12.355716999991273,26,25
slope_bumps_scene_001__mountain_large__baseline2_manual_risk_weighted_astar__none,slope_bumps_scene_001,slope_bumps,mountain_large,baseline2_manual_risk_weighted_astar,none,0.57723468542099,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,12001,10479.324658999758,0,0
pits_scene_003__mountain_large__baseline3_ml_risk_weighted_astar__main,pits_scene_003,pits,mountain_large,baseline3_ml_risk_weighted_astar,main,0.43905091285705566,10,60,0,110,60,0,2,1,,10.380918468859551,0.20667065680027008,0.09990331378447984,5504,32575.984989999597,26,25
pits_scene_003__mountain_large__baseline3_ml_risk_weighted_astar__compare,pits_scene_003,pits,mountain_large,baseline3_ml_risk_weighted_astar,compare,0.43905091285705566,10,60,0,110,60,0,2,1,,10.318870597712841,0.15142804384231567,0.08581517762806228,4317,20731.427942000664,26,25
slope_bumps_scene_003__urban_small__proposed_ml_risk_constrained_astar__main,slope_bumps_scene_003,slope_bumps,urban_small,proposed_ml_risk_constrained_astar,main,0.5350304841995239,10,60,0,110,60,0,2,1,,10.209758550723139,0.48082226514816284,0.4077572831847953,972,1871.3235069999428,26,25
slope_bumps_scene_003__urban_small__proposed_ml_risk_constrained_astar__compare,slope_bumps_scene_003,slope_bumps,urban_small,proposed_ml_risk_constrained_astar,compare,0.5350304841995239,10,60,0,110,60,0,2,1,,10.209758550723139,0.5020167231559753,0.40647625724181075,916,1595.2029279997078,26,25
slope_bumps_scene_003__standard_offroad__baseline1_2p5d_astar__none,slope_bumps_scene_003,slope_bumps,standard_offroad,baseline1_2p5d_astar,none,0.5350304841995239,10,60,0,110,60,0,2,1,,10.209758550723139,0.0,0.0,346,11.956043999816757,26,25
slope_bumps_scene_002__urban_small__baseline2_manual_risk_weighted_astar__none,slope_bumps_scene_002,slope_bumps,urban_small,baseline2_manual_risk_weighted_astar,none,0.5524070858955383,10,60,0,110,60,0,2,1,,10.737387479630673,0.925771546488007,0.4166014888956698,10231,17561.85145100062,26,25
slope_bumps_scene_002__standard_offroad__baseline2_manual_risk_weighted_astar__none,slope_bumps_scene_002,slope_bumps,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.5524070858955383,10,60,0,110,60,0,2,1,,10.659199142490289,0.8792585962762436,0.46517367876028864,11382,18956.746593999924,26,25
slope_bumps_scene_002__mountain_large__baseline2_manual_risk_weighted_astar__none,slope_bumps_scene_002,slope_bumps,mountain_large,baseline2_manual_risk_weighted_astar,none,0.5524070858955383,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,12001,20210.863450000033,0,0
slope_bumps_scene_003__mountain_large__baseline1_2p5d_astar__none,slope_bumps_scene_003,slope_bumps,mountain_large,baseline1_2p5d_astar,none,0.5350304841995239,10,60,0,110,60,0,2,1,,10.209758550723139,0.0,0.0,346,14.947372000278847,26,25
slope_bumps_scene_003__standard_offroad__proposed_ml_risk_constrained_astar__main,slope_bumps_scene_003,slope_bumps,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5350304841995239,10,60,0,110,60,0,2,1,,10.209758550723139,0.4771260619163513,0.3701201876081177,977,1989.0276340001947,26,25
slope_bumps_scene_003__standard_offroad__proposed_ml_risk_constrained_astar__compare,slope_bumps_scene_003,slope_bumps,standard_offroad,proposed_ml_risk_constrained_astar,compare,0.5350304841995239,10,60,0,110,60,0,2,1,,10.209758550723139,0.48973098397254944,0.35879008897253895,1023,1949.38376600021,26,25
slope_bumps_scene_003__urban_small__baseline2_manual_risk_weighted_astar__none,slope_bumps_scene_003,slope_bumps,urban_small,baseline2_manual_risk_weighted_astar,none,0.5350304841995239,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,12001,19782.075627000268,0,0
slope_bumps_scene_003__mountain_large__proposed_ml_risk_constrained_astar__main,slope_bumps_scene_003,slope_bumps,mountain_large,proposed_ml_risk_constrained_astar,main,0.5350304841995239,10,60,0,110,60,0,2,1,,10.209758550723139,0.4776650369167328,0.3527174673181627,1024,1931.244921999678,26,25
slope_bumps_scene_003__mountain_large__proposed_ml_risk_constrained_astar__compare,slope_bumps_scene_003,slope_bumps,mountain_large,proposed_ml_risk_constrained_astar,compare,0.5350304841995239,10,60,0,110,60,0,2,1,,10.209758550723139,0.4819422662258148,0.345701553382407,1029,1635.5481600003259,26,25
lateral_pits_scene_001__urban_small__baseline1_2p5d_astar__none,lateral_pits_scene_001,lateral_pits,urban_small,baseline1_2p5d_astar,none,0.5661582946777344,10,60,0,110,60,0,2,1,,10.201686741067377,0.0,0.0,452,18.877374000112468,26,25
slope_bumps_scene_003__standard_offroad__baseline2_manual_risk_weighted_astar__none,slope_bumps_scene_003,slope_bumps,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.5350304841995239,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,12001,20259.8012010003,0,0
bumps_scene_001__urban_small__baseline3_ml_risk_weighted_astar__main,bumps_scene_001,bumps,urban_small,baseline3_ml_risk_weighted_astar,main,0.5463687777519226,10,60,0,110,60,0,2,1,,10.201331419233053,0.282763808965683,0.18894965488469784,6973,41032.389874999804,26,25
bumps_scene_001__urban_small__baseline3_ml_risk_weighted_astar__compare,bumps_scene_001,bumps,urban_small,baseline3_ml_risk_weighted_astar,compare,0.5463687777519226,10,60,0,110,60,0,2,1,,10.196663270209024,0.30260270833969116,0.19385923474824412,7330,34997.66725800055,26,25
slope_bumps_scene_002__mountain_large__baseline3_ml_risk_weighted_astar__main,slope_bumps_scene_002,slope_bumps,mountain_large,baseline3_ml_risk_weighted_astar,main,0.5524070858955383,10,60,0,110,60,0,2,1,,10.261406797464268,0.47477757930755615,0.2646505828598581,7066,19238.743190000605,26,25
slope_bumps_scene_002__mountain_large__baseline3_ml_risk_weighted_astar__compare,slope_bumps_scene_002,slope_bumps,mountain_large,baseline3_ml_risk_weighted_astar,compare,0.5524070858955383,10,60,0,110,60,0,2,1,,10.3437912983115,0.5005998611450195,0.24459817476050977,6393,15737.071945000025,26,25
lateral_pits_scene_001__standard_offroad__baseline1_2p5d_astar__none,lateral_pits_scene_001,lateral_pits,standard_offroad,baseline1_2p5d_astar,none,0.5661582946777344,10,60,0,110,60,0,2,1,,10.201686741067377,0.0,0.0,452,7.154101000196533,26,25
slope_bumps_scene_002__standard_offroad__baseline3_ml_risk_weighted_astar__main,slope_bumps_scene_002,slope_bumps,standard_offroad,baseline3_ml_risk_weighted_astar,main,0.5524070858955383,10,60,0,110,60,0,2,1,,10.282455219271814,0.49422308802604675,0.28097932375969703,7378,20447.53474100071,26,25
slope_bumps_scene_002__standard_offroad__baseline3_ml_risk_weighted_astar__compare,slope_bumps_scene_002,slope_bumps,standard_offroad,baseline3_ml_risk_weighted_astar,compare,0.5524070858955383,10,60,0,110,60,0,2,1,,10.367364725545254,0.5012088418006897,0.2589568807092413,6879,17122.514114000296,26,25
lateral_pits_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,lateral_pits_scene_001,lateral_pits,urban_small,proposed_ml_risk_constrained_astar,main,0.5661582946777344,10,60,0,110,60,0,2,1,,10.201686741067377,0.5324289798736572,0.34810675667383434,1561,2553.655703000004,26,25
lateral_pits_scene_001__urban_small__proposed_ml_risk_constrained_astar__compare,lateral_pits_scene_001,lateral_pits,urban_small,proposed_ml_risk_constrained_astar,compare,0.5661582946777344,10,60,0,110,60,0,2,1,,10.201686741067377,0.4619857966899872,0.3609284942346018,1558,2128.1549710001855,26,25
