vehicle_id,terrain_class,method,model_tag,count,success_rate,path_length_mean,risk_max_mean,risk_avg_mean,expanded_nodes_mean,planning_time_ms_mean
standard_offroad,slope_bumps,baseline3_ml_risk_weighted_astar,main,3,0.6666666666666666,10.32386409012255,0.48054060339927673,0.295376332729215,8544.5,38215.53900900017
standard_offroad,slope_bumps,proposed_ml_risk_constrained_astar,compare,3,0.6666666666666666,10.318987747441536,0.5263658910989761,0.41633325105077307,1394.0,1810.5366310001045
standard_offroad,slope_bumps,proposed_ml_risk_constrained_astar,main,3,0.6666666666666666,10.352244714724357,0.5080022811889648,0.412198184804176,817.0,1389.1635079999105
standard_offroad,steps,baseline1_2p5d_astar,none,3,1.0,10.038384658017465,0.0,0.0,63.666666666666664,1.136838000093121
standard_offroad,steps,baseline2_manual_risk_weighted_astar,none,3,1.0,10.316276365601865,0.4349402132266689,0.2576177142101305,9772.333333333334,7496.52992433342
standard_offroad,steps,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.176867428270576,0.15059182792901993,0.08595398570823021,3396.6666666666665,10297.9805743333
standard_offroad,steps,baseline3_ml_risk_weighted_astar,main,3,1.0,10.159650964387069,0.1576790710290273,0.10188287749410585,3899.6666666666665,13682.452389333319
standard_offroad,steps,proposed_ml_risk_constrained_astar,compare,3,1.0,10.038384658017465,0.16824154804150263,0.10845785330217235,76.33333333333333,145.9101356664784
standard_offroad,steps,proposed_ml_risk_constrained_astar,main,3,1.0,10.038384658017465,0.203250582019488,0.1279514147317915,74.66666666666667,181.78261766661308
standard_offroad,uniform_slope,baseline1_2p5d_astar,none,3,1.0,10.260648800324285,0.0,0.0,552.3333333333334,14.453567999983838
standard_offroad,uniform_slope,baseline2_manual_risk_weighted_astar,none,3,0.0,nan,nan,nan,nan,nan
standard_offroad,uniform_slope,baseline3_ml_risk_weighted_astar,compare,3,0.3333333333333333,10.365572627014748,0.5402677059173584,0.27752436980531664,9113.0,41388.340816999975
standard_offroad,uniform_slope,baseline3_ml_risk_weighted_astar,main,3,0.3333333333333333,10.441792976785406,0.5390597581863403,0.31278840827221305,10280.0,53291.84120899982
